repeat,page,arm,started_at,observed_bytes,completed_requests,failed_requests,intentionally_blocked_requests,browser_policy_blocked_requests,missing_sizes,duration_ms,document_status
3,41,full,2026-09-22T13:15:40.978Z,350774,30,0,0,1,0,6487,200
3,41,lean,2026-09-22T13:15:47.880Z,115875,9,0,41,1,0,4954,200
3,42,lean,2026-09-22T13:15:53.252Z,116049,9,0,33,1,0,6307,200
3,42,full,2026-09-22T13:15:59.971Z,371075,30,0,0,1,0,6347,200
3,43,full,2026-09-22T13:16:06.732Z,355714,30,0,0,1,0,6976,200
3,43,lean,2026-09-22T13:16:14.122Z,115802,9,0,40,1,0,4712,200
3,44,lean,2026-09-22T13:16:19.246Z,115758,9,0,40,1,0,4895,200
3,44,full,2026-09-22T13:16:24.560Z,346128,30,0,0,1,0,6990,200
3,45,full,2026-09-22T13:16:31.967Z,353436,30,0,0,1,0,6534,200
3,45,lean,2026-09-22T13:16:38.919Z,115884,9,0,37,1,0,5301,200
3,46,lean,2026-09-22T13:16:44.637Z,115811,9,0,22,1,0,4969,200
3,46,full,2026-09-22T13:16:50.023Z,358856,30,0,0,1,0,6729,200
3,47,full,2026-09-22T13:16:57.162Z,375845,30,0,0,1,0,6188,200
3,47,lean,2026-09-22T13:17:03.766Z,115630,9,0,22,1,0,5380,200
3,48,lean,2026-09-22T13:17:09.563Z,115670,9,0,40,1,0,4961,200
3,48,full,2026-09-22T13:17:14.931Z,377769,30,0,0,1,0,7067,200
3,49,full,2026-09-22T13:17:22.415Z,363811,30,0,0,1,0,7195,200
3,49,lean,2026-09-22T13:17:30.029Z,115700,9,0,40,1,0,5577,200
3,50,lean,2026-09-22T13:17:36.023Z,115859,9,0,22,1,0,4675,200
3,50,full,2026-09-22T13:17:41.113Z,373043,30,0,0,1,0,6525,200
